Yeti SB6 XX1 Eagle9,10600,4
Santa Cruz V10 CC,10700,7 
Felt Virtue FRD,12500,8
BMC fourstroke 01 XTR Di2,13000,6
Intense Carbine Factory 29er,8999,7
